Time,Sentiment
04/01/2021 03:58,-1
04/01/2021 04:04,1
04/01/2021 04:09,1
04/01/2021 04:14,-1
04/01/2021 04:19,-1
04/01/2021 04:24,-1
04/01/2021 04:29,-1
04/01/2021 04:34,-1
04/01/2021 04:39,-1
04/01/2021 04:44,0
04/01/2021 04:49,1
04/01/2021 04:54,1
04/01/2021 04:59,1
04/01/2021 05:04,-1
04/01/2021 05:09,-1
04/01/2021 05:14,-1
04/01/2021 05:19,-1
04/01/2021 05:24,0
04/01/2021 05:29,-1
04/01/2021 05:34,-1
04/01/2021 05:39,1
04/01/2021 05:44,1
04/01/2021 05:49,-1
04/01/2021 05:54,-1
04/01/2021 05:59,0
04/01/2021 06:04,-1
04/01/2021 06:09,-1
04/01/2021 06:14,1
04/01/2021 06:19,1
04/01/2021 06:24,1
04/01/2021 06:29,1
04/01/2021 06:34,1
04/01/2021 06:39,-1
04/01/2021 06:44,0
04/01/2021 06:49,1
04/01/2021 06:55,0
04/01/2021 07:00,1
04/01/2021 07:05,1
04/01/2021 07:10,-1
04/01/2021 07:15,1
04/01/2021 07:20,1
04/01/2021 07:25,-1
04/01/2021 07:30,-1
04/01/2021 07:35,1
04/01/2021 07:40,1
04/01/2021 07:45,-1
04/01/2021 07:50,1
04/01/2021 07:55,0
04/01/2021 08:00,1
04/01/2021 08:05,1
04/01/2021 08:10,1
04/01/2021 08:15,1
04/01/2021 08:20,1
04/01/2021 08:25,0
04/01/2021 08:30,1
04/01/2021 08:35,1
04/01/2021 08:40,1
04/01/2021 08:45,1
04/01/2021 08:50,0
04/01/2021 08:55,1
04/01/2021 09:00,1
04/01/2021 09:05,1
04/01/2021 09:10,1
04/01/2021 09:16,1
04/01/2021 09:21,-1
04/01/2021 09:26,1
04/01/2021 09:31,1
04/01/2021 09:36,1
04/01/2021 09:41,1
04/01/2021 09:46,-1
04/01/2021 09:51,1
04/01/2021 09:56,1
04/01/2021 10:01,1
04/01/2021 10:06,1
